--------------------------------
Started at UT 2015y008d03h51m25s
Elapsed      Time Interval
Time / s          / s
--------------------------------
40261       8.465614467e-01
40322       8.465614362e-01
40383       8.465614367e-01
40444       8.465614432e-01
40505       8.465614532e-01
40566       8.465614487e-01
40627       8.465614507e-01
40688       8.465614512e-01
40749       8.465614472e-01
40810       8.465614432e-01
40871       8.465614462e-01
40932       8.465614542e-01
40993       8.465614467e-01
41054       8.465614512e-01
41115       8.465614522e-01
41176       8.465614492e-01
41237       8.465614502e-01
41298       8.465614257e-01
41359       8.465614467e-01
41420       8.465614307e-01
41481       8.465614437e-01
41542       8.465614432e-01
41603       8.465614432e-01
41664       8.465614457e-01
41725       8.465614462e-01
41786       8.465614442e-01
41847       8.465614412e-01
41908       8.465614437e-01
41969       8.465614432e-01
42030       8.465614477e-01
42091       8.465614522e-01
42152       8.465614472e-01
42213       8.465614477e-01
42274       8.465614432e-01
42335       8.465614367e-01
42396       8.465614357e-01
42457       8.465614382e-01
42518       8.465614427e-01
42579       8.465614412e-01
42640       8.465614422e-01
42701       8.465614407e-01
42762       8.465614357e-01
42823       8.465614352e-01
42884       8.465614387e-01
42945       8.465614322e-01
43006       8.465614377e-01
43067       8.465614392e-01
43128       8.465614397e-01
43189       8.465614367e-01
43250       8.465614387e-01
43311       8.465614372e-01
43372       8.465614382e-01
43433       8.465614357e-01
43494       8.465614332e-01
43555       8.465614347e-01
43616       8.465614317e-01
43677       8.465614312e-01
43738       8.465614352e-01
43799       8.465614322e-01
43860       8.465614337e-01
43921       8.465614347e-01
43982       8.465614367e-01
44043       8.465614377e-01
44104       8.465614372e-01
44165       8.465614342e-01
44226       8.465614322e-01
44287       8.465614292e-01
44348       8.465614312e-01
44409       8.465614277e-01
44470       8.465614272e-01
44531       8.465614257e-01
44592       8.465614297e-01
44653       8.465614282e-01
44714       8.465614272e-01
44775       8.465614232e-01
44836       8.465614232e-01
44897       8.465614252e-01
44958       8.465614232e-01
45019       8.465614287e-01
45080       8.465614262e-01
45141       8.465614277e-01
45202       8.465614202e-01
45263       8.465614217e-01
45324       8.465614247e-01
45385       8.465614227e-01
45446       8.465614262e-01
45507       8.465614197e-01
45568       8.465614212e-01
45629       8.465614207e-01
45690       8.465614197e-01
45751       8.465614252e-01
45812       8.465614262e-01
45873       8.465614257e-01
45934       8.465614217e-01
45995       8.465614317e-01
46056       8.465614232e-01
46117       8.465614197e-01
46178       8.465614217e-01
46239       8.465614212e-01
46300       8.465614222e-01
46361       8.465614192e-01
46422       8.465614142e-01
46483       8.465614277e-01
46544       8.465614242e-01
46605       8.465614272e-01
46666       8.465614167e-01
46727       8.465614167e-01
46788       8.465614172e-01
46849       8.465614232e-01
46910       8.465614187e-01
46971       8.465614087e-01
47032       8.465614172e-01
47093       8.465614162e-01
47154       8.465614167e-01
47215       8.465614112e-01
47276       8.465614197e-01
47337       8.465614222e-01
47398       8.465614212e-01
47459       8.465614132e-01
47520       8.465614117e-01
47581       8.465614142e-01
47642       8.465614142e-01
47703       8.465614137e-01
47764       8.465614152e-01
47825       8.465614102e-01
47886       8.465614187e-01
47947       8.465614137e-01
48008       8.465614117e-01
48069       8.465614117e-01
48130       8.465614132e-01
48191       8.465614127e-01
48252       8.465614127e-01
48313       8.465614137e-01
48374       8.465614142e-01
48435       8.465614092e-01
48496       8.465614147e-01
48557       8.465614132e-01
48618       8.465614157e-01
48679       8.465614132e-01
48740       8.465614097e-01
48801       8.465614112e-01
48862       8.465614192e-01
48923       8.465614082e-01
48984       8.465614132e-01
49045       8.465614117e-01
49106       8.465614107e-01
49167       8.465614087e-01
49228       8.465614137e-01
49289       8.465614122e-01
49350       8.465614122e-01
49411       8.465614092e-01
49472       8.465614117e-01
49533       8.465614132e-01
49594       8.465614127e-01
49655       8.465614177e-01
49716       8.465614137e-01
49777       8.465614157e-01
49838       8.465614157e-01
49899       8.465614187e-01
